Title_ZH,Country,Finished,Genres_EN,Score /5,Status,TMDB_ID,Title_EN,
拆案,China,2/18/2021,Mystery,3,Finished,115080,The Case Solver,
推理筆記,China,2/18/2021,Mystery,3,Finished,90732,Inference Notes,
來自海洋的你,China,2/17/2021,Other,3,Finished,96637,My Love From The Ocean,
如此可愛的我們,China,2/14/2021,Comedy,4,Finished,106740,Lovely Us,
白夜追凶,China,2/14/2021,Crime,4,Finished,73982,Day and Night,
原來時光都記得,China,2/13/2021,Drama,3,Finished,117278,"Always Have, Always Will",
悄悄地喜歡你,China,2/12/2021,Drama,3,Finished,120760,By Stealth Like You,
我有特殊溝通技巧,China,2/12/2021,Mystery,3,Finished,113990,My Supernatural Power,
女神降臨,Korea,2/5/2021,Comedy and Drama,5,Finished,112888,True Beauty,
七日羅曼史 S2,Korea,1/31/2021,Other,3,Finished,117058,7 Days of Romance Season 2,
七日羅曼史 S1,Korea,1/31/2021,Other,4,Finished,117058,7 Days of Romance Season 1,
魔法俏佳人傳奇 S1,USA,1/30/2021,Other,5,Finished,97175,Fate: The Winx Saga Season 1,
姊姊的小狼友,China,1/28/2021,Other,1,Finished,302798,姊姊的小狼友,
心靈法醫,China,1/28/2021,Drama,3,Finished,96530,The Listener,
我的小確幸,China,1/27/2021,Drama,4,Finished,116328,My Little Happiness,
蝸牛與黃鸝鳥,China,1/26/2021,Drama,3,Finished,104983,Symphony's Romance,
初戀是CV大神,China,1/25/2021,Drama,2,Finished,116923,First Love It's You,
新婚甜心是同事,Japan,1/8/2021,Comedy,4,Finished,112403,In-House Marriage Honey,
離人心上,China,1/3/2021,Drama,3,Finished,107108,The Sleepless Princess,
百歲之好，一言為定,China,1/1/2021,Drama,4,Finished,114670,Forever Love,
到了三十歲還是處男，似乎會變成魔法師,Japan,1/1/2021,Other,5,Finished,111204,Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,
直到天空迎來太陽,Thailand,12/25/2020,Drama,4,Finished,113392,My Forever Sunshine,
今際之國的闖關者,Japan,12/18/2020,"Mystery, Drama, and Action & Adventure",5,Finished,110316,Alice in Borderland Season 1,
從結婚開始戀愛,China,12/14/2020,Drama,3,Finished,112280,Begin Again,
重生之愛,Thailand,12/8/2020,Other,4,Finished,110914,The Last Promise,
如意芳霏,China,12/3/2020,Drama and Mystery,3,Finished,111615,The Blooms at Ruyi Pavilion,
謝謝讓我遇見你,China,11/28/2020,Drama,4,Finished,111762,Meeting You,
超時空戀人,China,11/19/2020,Drama,3,Finished,113277,Oh My Drama Lover,
再次十八歲,Korea,11/11/2020,Drama,5,Finished,99654,18 Again,
陪你到世界之巔,China,11/2/2020,Drama,3,Finished,90504,Gank Your Heart,
半是蜜糖半是傷,China,11/2/2020,Drama,4,Finished,110632,Love is Sweet,
少女大人,China,11/1/2020,"Action & Adventure, Mystery, and Comedy",3,Finished,108321,Maiden Holmes,
全世界最好的你,China,10/30/2020,Drama,4,Finished,101724,The Best of You in My Mind,
雖然是神經病但沒關係,Korea,8/9/2020,Other,5,Finished,96462,It’s Okay to not Be okay,
The King：永遠的君主,Korea,6/16/2020,Sci-Fi & Fantasy,4,Finished,93846,The King: Eternal Monarch,
她很漂亮,Korea,6/16/2020,Comedy and Drama,3,Finished,63767,She Was Pretty,
我的男孩,Taiwan,6/15/2020,Drama and Comedy,2,Finished,76510,My Dear Boy,
初戀那件小事,China,6/14/2020,Comedy,3,Finished,95100,A Little Thing Called First Love,
極道千金,Taiwan,6/14/2020,Comedy,2,Finished,96049,Triad Princess,
初戀那一天所讀的故事,Japan,6/12/2020,Drama,3,Finished,86066,A Story to Read When You First Fall in Love,
你成功地引起了我的注意,China,6/12/2020,Other,4,Finished,103809,My Dear Lady,
G弦上的詠嘆調,Japan,6/12/2020,Other,3,Finished,96149,You and I on the G-string,
重啟,Japan,,Sci-Fi & Fantasy,,,122424,Reboot,
冬日的什麼呀,Japan,,Drama,,,307682,Sounds of Winter,
被女孩子逆推不行嗎,Japan,,Comedy,,,313902,Ladies on Top,
韓國製造,Korea,,Drama,,,1561687,Made in Korea,
戀愛恐懼症,Korea,,"Comedy, Sci-Fi & Fantasy",,,289690,Love Phobia,
認罪之罪,Korea,,"Mystery, Drama",,,209110,The Price of Confession,
依然閃亮,Korea,,Drama,,,276472,Still Shining,
榮耀 他們的法庭,Korea,,"Crime, Mystery, Drama",,,287346,Honour,
魔女之吻,Korea,,"Drama, Crime, Mystery",,Watching,310800,Siren's Kiss,
親愛的盜賊大人,Korea,,"Sci-Fi & Fantasy, Comedy, and Drama",,,301886,To My Beloved Thief,
今天開始是人類,Korea,,"Sci-Fi & Fantasy, Comedy, Drama",,,270420,No Tail to Tell,
愛情怎麼翻譯,Korea,,"Drama, Comedy",,,229891,Can This Love Be Translated?,
給你宇宙,Korea,,"Comedy, Drama",,Watching,297424,Our Universe,
在你燦爛的季節,Korea,,"Mystery, Drama, Family",,,233833,In Your Radiant Season,
沙拉的真偽人生,Korea,,"Crime, Mystery, and Drama",,,273977,The Art of Sarah,
成何體統,China,,"Drama, Mystery, Comedy",,,280632,How Dare You!?,
唐宮奇案之青霧鳳鳴,China,,Drama and Mystery,,,278127,Unveil: Jadewind,
除惡,China,,"Crime, Mystery",,,281495,The Devil Between Us,
在你眉梢種紅豆,China,,Drama,,,292367,Seeds of Scarlet Longing,
江湖夜雨十年燈,China,,"Drama, Action & Adventure, Mystery",,,262932,Generation to Generation,
純真年代的愛情,China,,Drama,,,287760,Love Story in the 1970s,
訂閱男友,Korea,,"Comedy, Sci-Fi & Fantasy, Drama",,,281016,Boyfriend on Demand,
玫瑰叢生,China,,"Drama, Mystery",,,240446,About Love,
逐玉,China,,Drama,,Watching,279388,Pursuit of Jade,
剝繭,China,,"Drama, Mystery, Crime",,,273112,The Truth Within,
雙軌,China,,Drama,,,279041,Speed and Love,
你旁觀的罪,Korea,,"Crime, Drama, Mystery",,,271885,As You Stood By,
月亮在江邊流淌,Korea,,"Drama, Mystery, Comedy",,,274570,Moon River,
一吻爆炸,Korea,,"Drama, Comedy",,,281013,Dynamite Kiss,
枭起青壤,China,,"Mystery, Action & Adventure",,,249971,Love on the Turquoise Land,
狙擊蝴蝶,China,,Drama,,Watching,263048,Sniper Butterfly,
驕陽似我,China,,Drama,,,278577,Shine on Me,
我的青春,Korea,,Drama,,,114557,Twenty Again,
螳螂,Korea,,Drama,,,154209,螳螂,
行騙天下ＫＲ,Korea,,"Crime, Comedy, Drama",,,259710,Confidence Queen,
第一夫人,Korea,,"Drama, Family",,,99070,The First Lady,
濁流之爭,Korea,,"Drama, Action & Adventure",,,230926,The Murky Stream,
善良的女人夫世美,Korea,,"Crime, Drama",,,275593,Ms. Incognito,
許願吧精靈,Korea,,"Sci-Fi & Fantasy, Comedy, Drama",,,228689,"Genie, Make a Wish",
颱風商社,Korea,,Drama,,,280946,Typhoon Family,
靈指,Korea,,"Drama, Sci-Fi & Fantasy, Crime",,,5639,Pushing Daisies,
最後的夏天,Korea,,"Drama, Comedy",,,261902,Last Summer,
親愛的Ｘ,Korea,,"Drama, Crime",,Watching,256226,Dear X,
操控遊戲,Korea,,"Crime, Drama",,,239385,The Manipulated,
月亮在江邊流淌,Korea,,"Drama, Mystery, Comedy",,,274570,Moon River,
一吻爆炸,Korea,,"Drama, Comedy",,,281013,Dynamite Kiss,
第四次愛情革命,Korea,,"Comedy, Drama",,,303748,LOVE.exe,
不眠日,China,,"Drama, Mystery, Crime, Action & Adventure",,,279322,Mobius,
吳邪私家筆記,China,,"Action & Adventure, Mystery",,,294443,Time Raiders,
許我耀眼,China,,Drama,,,256920,Love's Ambition,
一笑隨歌,China,,"Drama, Mystery",,,272484,Fated Hearts,
入青雲,China,,"Drama, Sci-Fi & Fantasy",,,262928,Love in the Clouds,
宴遇永安,China,,Drama,,,273274,Yummy Yummy Yummy,
餘生有涯,China,,Drama,,,273125,Light Beyond the Reed,
重影,China,,"Drama, Mystery",,,282905,Persona,
錦月令,China,,Drama,,,289852,Moonlit Order,
山河枕,China,,Drama,,,263044,Fight for Love,
初戀Dogs,Japan,,Drama,,,290788,Love Is for the Dogs,
黑律師的癡情,Japan,,Other,,,,黑律師的癡情,
灰姑娘的魔法衣櫥,Japan,,Drama,,,293431,Cinderella Closet,
DOPE麻藥取締部,Japan,,Drama,,,290209,DOPE Narcotics Control Department Special Investigation Unit,
第19份病例簿,Japan,,Drama,,,293432,The 19th Medical Chart,
能面檢察官,Japan,,Mystery,,,293441,Nomen Kenji,
玻璃之心,Japan,,Drama,,,247670,Glass Heart,
芭尼與哥哥們,Korea,,Comedy and Drama,,,262828,Crushology 101,
鬼宮,Korea,,Other,,,270599,裸の大将 宮崎編〜宮崎の鬼が笑うので〜,
24小時健身房,Korea,,"Drama, Comedy",,,260555,Pump Up the Healthy Love,
比天堂還美麗,Korea,,"Sci-Fi & Fantasy, Drama",,,254389,Heavenly Ever After,
離婚保險,Korea,,"Drama, Comedy",,,258764,The Divorce Insurance,
吞金,Korea,,"Drama, Mystery",,,224819,Dear Hongrang,
未知的首爾,Korea,,Drama,,,261980,Our Unwritten Seoul,
善良的他,Korea,,"Drama, Family",,,211224,The Nice Guy,
瑞草洞,Korea,,Drama,,,273418,Law and the City,
S-line,Korea,,"Sci-Fi & Fantasy, Drama, Mystery",,,232402,S Line,
夢想成為律師的律師們,Korea,,Drama,,,281004,Beyond the Bar,
十二使者,Korea,,"Sci-Fi & Fantasy, Action & Adventure, Drama",,,274875,Twelve,
折腰,China,,Drama,,,220269,The Prisoner of Beauty,
開畫 少女漫,China,,"Drama, Comedy",,,253769,The Comic Bang,
陷入我們的熱戀,China,,"Drama, Soap",,,259857,Be Passionately in Love,
煥羽,China,,"Drama, Mystery",,,255483,Reborn,
桃花映江山,China,,Drama,,,257010,The Princess's Gambit,
櫻桃琥珀,China,,Drama,,,261128,Our Generation,
愛的方程式,China,,Drama,,,295994,Love Formula,
定風波,China,,Drama,,,1505668,Ding Feng Po,
愛的學校,Japan,,Drama,,Watching,292126,Learning to Love,
我奪走了男主的初夜,Korea,,"Sci-Fi & Fantasy, Comedy, Drama",,Watching,278331,The First Night with the Duke,
牽牛和仙女,Korea,,"Sci-Fi & Fantasy, Drama, Comedy",,Watching,258025,Head Over Heels,
暴君的廚師,Korea,,"Drama, Sci-Fi & Fantasy",,Watching,280945,"Bon Appétit, Your Majesty",
魷魚遊戲S3,Korea,,"Action & Adventure, Mystery, and Drama",,,93405,Squid Game Season 3,
我在頂峰等你,China,,Drama,,Watching,270432,Summit of Our Youth,
書捲一夢,China,,Drama,,,253193,A Dream Within A Dream,
深情眼,China,,"Drama, Mystery",,Watching,284430,Deep Affection Eyes,
朝雪錄,China,,"Drama, Mystery",,,240445,Coroner's Diary,
利劍 玫瑰,China,,"Crime, Mystery",,,257787,Sword Rose,
與晉長安,China,,Drama,,,253093,Shadow Love,
錦月如歌,China,,Drama,,,240686,Legend of the Female General,
子夜歸,China,,"Drama, Sci-Fi & Fantasy",,,242762,Moonlit Reunion,
十二封信,China,,"Drama, Mystery, Sci-Fi & Fantasy",,,263292,Twelve Letters,
寶物島,Korea,,"Crime, Mystery, Drama",,,271309,Buried Hearts,
鬼宮,Korea,,Other,,,270599,裸の大将 宮崎編〜宮崎の鬼が笑うので〜,
格罗斯波因特园艺社群,USA,,"Drama, Mystery, Crime",,,259454,Grosse Pointe Garden Society,
光淵,China,,"Drama, Mystery, Crime, Sci-Fi & Fantasy",,,131037,Justice in the Dark,
愛情發芽中,Korea,,"Comedy, Drama",,,254391,The Potato Lab,
借命而生,China,,Crime and Drama,,,261592,A life for a life,
值得愛,China,,Drama,,,258070,Such a Good Love,
点燃,Japan,,Drama,,,134331,Lighter and Princess,
魔物,Japan,,"Action & Adventure, Animation",,,43564,Devil Hunter Yohko,
天久鹰央的推理病历表,Japan,,"Drama, Mystery",,,287349,Ameku M.D.: Doctor Detective,
玛洛谋杀俱乐部第1季,England,5/7/2026,Mystery and Drama,3,Finished,228079,The Marlow Murder Club,
吃饭跑步和恋爱,China,,Drama,,,255095,Eat Run Love,
白日夢與他,China,,Drama,,,160075,Nobody's Daughter Haewon,
請再和我結婚吧,China,,Drama,,,286445,Marry Me Again,
苦盡甘來遇見你,Korea,,Drama,,,219246,When Life Gives You Tangerines,
惡緣,Korea,,"Crime, Drama",,,233686,Karma,
波光和煦夫妻良辰,Japan,,"Drama, Comedy",,Watching,287338,A Calm Sea and Beautiful Days with You,
榜上佳婿,China,,Drama,,,252920,Serendipity,
幸福加菜子的快樂殺手生活,Japan,,"Comedy, Action & Adventure, and Drama",,,253797,Happy Kanako's Killer Life,
家族計劃,Korea,,"Drama, Crime, Comedy, Mystery",,,236356,Family Matters,
魷魚遊戲S2,Korea,,"Action & Adventure, Mystery, and Drama",,,93405,Squid Game Season 2,
那傢伙是黑炎龍,Korea,,"Comedy, Drama",,,259015,My Dearest Nemesis,
協商的技術,Korea,,Drama,,,255298,The Art of Negotiation,
新烏托邦,Korea,,"Sci-Fi & Fantasy, Action & Adventure, Comedy, Drama",,,233742,Newtopia,
狂醫魔徒,Korea,,"Drama, Crime",,Not start,245079,Hyper Knife,
濾鏡,China,,"Sci-Fi & Fantasy, Drama",,,243081,Filter,
噓 國王在冬眠,China,,Drama,,,247207,Ski into Love,
黑社會的我成為了高中生,Korea,,Sci-Fi & Fantasy and Drama,,,224030,High School Return of a Gangster,
照明商店,Korea,,"Drama, Mystery, Fantasy",,,1193640,Love Life Light,
學習小組,Korea,,"Action & Adventure, Comedy, and Drama",,Watching,233347,Study Group,
寶物島,Korea,,"Crime, Mystery, Drama",,,271309,Buried Hearts,
我們的浪漫電影,Korea,,"Comedy, Drama",,,243964,Melo Movie,
魔女,Korea,,"Animation, Action & Adventure, Drama, Sci-Fi & Fantasy",,,19836,Magical Girl Lyrical Nanoha,
臥底高中,Korea,,"Action & Adventure, Comedy, Drama",,,248244,Undercover High School,
善意的競爭,Korea,,"Mystery, Drama",,,259288,Friendly Rivalry,
愛情發芽中,Korea,,"Comedy, Drama",,,254391,The Potato Lab,
失笑,China,,Drama,,,253767,Smile Code,
白夜破曉,China,,"Crime, Drama, and Mystery",4,Finished,73982,Day and Night,
我是刑警,China,,"Crime, Drama",,,233971,We Are Criminal Police,
蜀錦人家,China,,Drama,,,258463,Brocade Odyssey,
獵罪圖鑑2,China,,"Drama, Mystery, Crime",,,139797,Under The Skin,
我將喜歡告訴了風,China,,Drama,,,273128,Chasing the Wind,
奪取,China,,Other,,,1660220,Namba Financial Fraud: The Worst Brothers in History 2 – Extorting Compensation,
再次人生,China,,"Drama, Sci-Fi & Fantasy",,,282261,Live or Love?,
五福臨門,China,,Comedy,,,1198100,Five Blessings in a Row,
白色橄欖樹,China,,"Drama, Action & Adventure",,,252774,The White Olive Tree,
漫影尋蹤,China,,"Action & Adventure, Mystery, Drama",,,232610,Back for You,
心靈迷霧,China,,"Mystery, Drama, Crime",,,283490,Lies Never Lie,
光淵,China,,"Drama, Mystery, Crime, Sci-Fi & Fantasy",,,131037,Justice in the Dark,
濾鏡,China,,"Sci-Fi & Fantasy, Drama",,,243081,Filter,
隔壁的護士助理,Japan,,"Drama, Comedy",,Watching,241747,Nursing Aide at Your Side,
冬至,China,,"Drama, Mystery",,Give up,243028,Love Song in Winter,
凌晨兩點的灰姑娘,Korea,,"Drama, Comedy",,,233349,Cinderella at 2AM,
貞淑的推銷,Korea,,"Drama, Comedy",,,255086,A Virtuous Business,
正年,Korea,,Drama,,,73625,Nothing Gold Can Stay,
如此親密的背叛者,Korea,,"Drama, Crime, Mystery",,,240942,Doubt,
錦繡安寧,China,,Drama,,,229036,The Rise of Ning,
七夜雪,China,,"Drama, Sci-Fi & Fantasy, Action & Adventure",,,263037,Snowy Night Timeless Love,
珠簾玉幕,China,,Drama,,,240440,The Story of Pearl Girl,
你的謊言也動聽,China,,Drama,,,255074,A Beautiful Lie,
感情搜查官心野朱梨 S2,Japan,,Crime and Mystery,,,203663,Octo: Emotional Investigator Shinno Akari Season 2,
我們陷入戀愛的理由,Japan,,Other,,,270655,The Reason We Fall In Love,
放學後的病例簿,Japan,,Drama,,,271360,After School Doctor,
解謊偵探少女,Japan,,"Drama, Mystery",,,263129,Usotoki Rhetoric,
okura難解事件搜查,Japan,,"Drama, Mystery, Crime",,,263035,Okura: Cold Case Investigation,
青春灰姑娘,Japan,,Drama,2,Finished,210758,Cinderella Again,
unmet某腦外科醫的日記,Japan,,"Drama, Mystery",,,249929,Unmet: Diary of a Neurosurgeon,
青島君是壞心眼,Japan,,Comedy,,Watching,256381,Aoshima-kun Is Mean,
阿南是小情人！？ ,Japan,,"Drama, Sci-Fi & Fantasy, Comedy",,,255434,Minami-kun is my lover!?,
新宿野戰醫院 ,Japan,,"Drama, Comedy",,,257513,Shinjuku Field Hospital,
向陽之處必有聲,Japan,,Drama,3,Finished,255853,I hear the sunspot,
黑色止血鉗2,Japan,,Drama and Mystery,,,79289,Black Pean Season 2,
完全無罪,Japan,,"Mystery, Crime",,,252144,Kanzen Muzai,
以泥為妝,Japan,,Drama,,,256383,Make Up with Mud,
山地醫生,Japan,,"Drama, Family, Comedy",,Watching,62957,Der Bergdoktor,
海的開始 ,Japan,,"Family, Drama",,,256299,The Beginning of the Sea,
是偶然嗎?,Korea,,"Drama, Comedy",,Watching,211065,Serendipity's Embrace,
壞記憶橡皮擦,Korea,,Drama,,,132603,Bad Memory Eraser,
遇見你的那天,China,,Drama,,,245081,The Best Day of My Life,
拜託了，身體里的她,China,,Comedy,,,259417,Another Soul in Me,
錯位,China,,"Drama, Family",,,37632,Switched at Birth,
目標小姐,Japan,,"Drama, Comedy",,,249847,Miss Target,
25時，赤坂見,Japan,,Drama,,,248433,"At 25:00, in Akasaka",
被奪走肝的妻子,Japan,,"Drama, Crime",,,247848,The Wife Whose Liver Was Taken Away,
JK與六法全書,Japan,,Drama,,,249930,JK to Roppozensho,
微笑俄羅斯娃娃,Japan,,"Drama, Mystery",,,256740,Smiling  Matryoshka,
小夫妻的火烤新婚生活 交往0天 從結婚開始戀愛吧,Japan,,Drama and Family,,Watching,256808,How to Grill Our Love,
商業婚姻―喜歡上了就離婚―,Japan,,"Comedy, Drama",,,257066,Business Marriage,
搜查班長1958 ,Korea,,"Drama, Mystery, Action & Adventure",,,216292,Chief Detective 1958,
玩家 2,Korea,,Drama,,,95233,Two Steps from Heaven,
紅天鵝,Korea,,Drama,,,227189,Red Swan,
聯結,Korea,,"Animation, Comedy, Drama",,,45807,Kokoro Connect,
顏心記,China,,Other,,,233365,顏心記,
度華年,China,,Drama,,,254474,The Princess Royal,
墨雨雲間,China,,"Drama, Mystery, Comedy",,Watching,236033,The Double,
雙面騙子,Japan,,"Crime, Mystery",,,247442,Double Cheat: Itsuwari no Keikan,
過度保護的少爺的溺愛婚姻,Japan,,Drama,,Watching,252776,Spoiled Marriage of an Overprotective Young Husband,
結婚預定日,Japan,,"Drama, Comedy",,Watching,230214,The Date of Marriage,
金字塔遊戲,Korea,,Drama,,,227192,Pyramid Game,
Hide,Korea,,Other,,,2091541,HIDE,
抓住你的衣領,Korea,,"Crime, Mystery, Drama",,,231268,Nothing Uncovered,
美女與純情男,Korea,,"Drama, Family",,,242503,Beauty and Mr. Romantic,
我親愛的妖怪女友,Japan,,"Action & Adventure, Comedy, Sci-Fi & Fantasy",,,248395,My Undead Yokai Girlfriend,
再見已是白月光,China,,Drama,,,248754,Fall in Love Again,
猜猜我是誰,China,,"Thriller, Action",,,481563,The Big Call,
第二次戀愛才完美,Japan,,Drama,,,246482,Love Is Better the Second Time Around,
戰力外搜查官,Japan,,Drama,,,77446,Senryokugai Sosakan,
絕佳的解決師,Korea,,Drama and Crime,,,222425,Queen of Divorce,
金字塔遊戲,Korea,,Drama,,,227192,Pyramid Game,
魅惑之人 ,Korea,,"Drama, War & Politics, Mystery",,,233205,Captivating the King,
篡位,Korea,,Drama,,,223212,The Impossible Heir,
美好世界,Korea,,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy",,,65844,KONOSUBA - God's blessing on this wonderful world!,
夜限照相館,Korea,,"Sci-Fi & Fantasy, Drama",,,223890,The Midnight Studio,
淚之女王,Korea,,"Drama, Comedy",,Watching,215720,Queen of Tears,
清潔工2022,Korea,,"
Comedy, Crime, and Drama",,,195745,Cleaning Up,
不可能的婚禮,Korea,,"Drama, Comedy",,,230198,Wedding Impossible,
別對我動心,China,,"Comedy, Drama",,,247453,Everyone Loves Me,
謝謝你溫暖我 ,China,,Drama,,,228076,Angels Fall Sometimes,
大耀酒店,Korea,,"Mystery, Drama",,,246058,O'PENing: Grand Shining Hotel,
阿麥從軍,China,,"Crime, Drama, Mystery, Action & Adventure, War & Politics",,,233968,Fighting for Love,
南來北往,China,,"Drama, Crime, Family",,,233973,Always on the Move,
致命遊戲,China,,"Crime, Mystery",,,72597,Manhunt,
甜心萌探,China,,"Drama, Comedy",,,245549,The Soulmate,
獨一有二的她,China,,"Drama, Comedy",,,233953,My Special Girl,
Mars-零之革命-,Japan,,"Drama, Mystery",,,242561,Mars: Zero's Revolution,
Eye Love You,Japan,,"Drama, Sci-Fi & Fantasy, Comedy",,Watching,240581,Eye Love You,
完美求婚,Japan,,Drama,,,241756,Perfect Propose,
再見了指揮大師~父親與我的熱情~,Japan,,Family and Drama,,,241788,"Sayonara, Maestro!",
財閥X刑警,Korea,,"Drama, Crime, Mystery, Action & Adventure",,,220074,Flex x Cop,
品牌in聖水洞,Korea,,Drama,,,230824,Branding in Seongsu,
殺人者的購物中心,Korea,,"Drama, Action & Adventure, Mystery, Crime",,,215072,A Shop for Killers,
低谷醫生,Korea,,"Drama, Comedy",,Watching,222233,Doctor Slump,
在暴雪時分,China,,Drama,,Watching,221112,Amidst a Snowstorm of Love,
莎賓娜的戰慄冒險,USA,,"
Mystery, Sci-Fi & Fantasy, and Drama",,,79242,Chilling Adventures of Sabrina,
愛情的溫度,Korea,,Comedy,,,73575,Temperature of Love,
接線女孩,USA,,Drama,,,71225,Cable Girls,
去他的世界末日,USA,,"Comedy, Drama, Crime",,,74577,The End of the F***ing World,
殺手迴路,USA,,Other,,,59967,Looper,
誰在說謊,USA,,"Drama, Mystery",,,118958,One of Us Is Lying,
沈默的天使,USA,,"Drama, Crime, and Mystery",,,71769,The Alienist,
美國眾神,USA,,"Drama, Mystery, Sci-Fi & Fantasy",,,46639,American Gods,
我很喜歡你，那你呢？,Japan,,Drama,,,241064,"Although I Love You, and You?",
客廳里的松永先生,Japan,,Comedy,,,241746,Living-Room Matsunaga-san,
因為你把心給了我,Japan,,"Drama, Sci-Fi & Fantasy",,,240772,The Gift of Your Heart,
花青歌,China,,"Drama, Comedy, Mystery, Sci-Fi & Fantasy",,,243495,Different Princess,
夜晚開的花,Korea,,"Drama, Comedy, Mystery, Action & Adventure",,,220836,Knight Flower,
幻像戀歌,Korea,,"Drama, Sci-Fi & Fantasy",,,226107,Love Song for Illusion,
我的幸福結局,Korea,,"Drama, Comedy",,,952875,My Happy Ending,
君心藏不住,China,,Drama,,,242342,Governor's Secret Love,
誰都知道我愛你,China,,Drama,,,213239,Almost Lover,
我們的翻譯官,China,,Drama,,Watching,240439,Our Interpreter,
京城怪物,Korea,,"Sci-Fi & Fantasy, Mystery, Action & Adventure, Drama",,,135238,Gyeongseong Creature,
死期將至,Korea,,"Family, Drama",,,279967,Dead Within,
你也有今天,China,,"Comedy, Drama",,Watching,240437,My Boss,
鳴龍少年,China,,"Drama, Comedy",,,240880,The Hope,
波西傑克森 S1,USA,,"Action & Adventure, Sci-Fi & Fantasy, Drama, and Family",,Watching,103540,Percy Jackson and the Olympians,
大指揮家: 弦上的真相,Korea,,"Drama, Mystery",,,214806,Maestra: Strings of Truth,
沙之花也有春天,Korea,,"Drama, Comedy, Mystery",,,224900,Like Flowers in Sand,
獵鑽緝兇,Korea,,"Mystery, Drama",,,205040,Adamas,
三大隊,China,,"Drama, Mystery, Crime",,,241206,The Lonely Warrior,
脫軌,China,,Drama,,,1294306,脫軌邊緣人,
一念關山,China,,"Drama, Action & Adventure",,Watching,210191,A Journey to Love,
我的男人是邱比特,Korea,,Other,,,,我的男人是邱比特,
跟我說愛我,Korea,,Drama,,,20355,Say You Love Me,
非法正義,Korea,,"Animation, Action & Adventure, Drama, Sci-Fi & Fantasy",,Watching,280110,My Hero Academia: Vigilantes,
非凡醫者,China,,Drama,,,239479,Fantastic Doctors,
黑白密碼,China,,"Crime, Drama, Mystery",,Watching,239577,Chase the Truth,
對你不止是喜歡,China,,Drama,,,240231,I May Love You,
獵罪者,China,,Mystery,,,240194,Crime Hunter,
很想很想你,China,,Drama,,Watching,230250,"Love Me, Love My Voice",
樂遊原,China,,"Drama, War & Politics",,,209915,Wonderland of Love,
與惡魔有約,Korea,,"Drama, Comedy",,Watching,218539,My Demon,
白日升月,Korea,,"Drama, Sci-Fi & Fantasy",,,230924,Moon in the Day,
繁城之下,China,,Drama,,,233959,Ripe Town,
費馬的料理,Japan,,"Animation, Drama",,,283704,Fermat Kitchen,
青春之旅,Japan,,Other,,,1542840,青春极速之旅,
我的第二青春,Japan,,"Drama, Comedy",,Watching,234251,My Second Aoharu,
婚禮大捷,Korea,,"Comedy, Drama",,,230024,The Matchmakers,
High Cookie,Korea,,"Drama, Crime, Sci-Fi & Fantasy",,,223489,High Cookie,
犬繫戀人,Korea,,"Drama, Comedy, and Sci-Fi & Fantasy",,Watching,209502,A Good Day to Be a Dog,
精神病房也會迎來清晨,Korea,,Drama,,,205319,Daily Dose of Sunshine,
南風知我意,China,,"Drama, Mystery",,,131614,South Wind Knows,
治癒系戀人,China,,Drama,,,225929,Love is Panacea,
極速悖論,China,,Drama,,Watching,238582,We Go Fast On Trust,
以愛為營,China,,"Drama, Comedy",,Watching,233194,Only for Love,
田耕紀,China,,"Drama, Sci-Fi & Fantasy",,,229146,Romance on the Farm,
盜賊之歌,Korea,,"Action & Adventure, Drama",,,136368,Song of the Bandits,
社長豆超市,Korea,,"Drama, Comedy",,,210242,CEO-dol Mart,
Malice,Japan,,"Drama, Mystery",,,244416,Malice,
大力女子姜南順,Korea,,"Comedy, Drama, Sci-Fi & Fantasy, Crime",,,203164,Strong Girl Nam-soon,
走進你的時間,Korea,,Drama,,,196474,A Time Called You,
閃爍的西瓜,Korea,,Sci-Fi & Fantasy and Drama,,,212204,Twinkling Watermelon,
惡中之惡,Korea,,"Crime, Action & Adventure, Drama",,,210704,The Worst of Evil,
迷情莊園,China,,Drama,,,236602,Miss Mystery,
為有暗香來,China,,Drama,,,236809,Scent of Time,
廢柴小仵作,China,,Drama,,,236876,Fei Chai Xiao Wu Zuo,
別惹前女友,China,,"Comedy, Drama",,,209101,Don't Mess With EX-Girlfriend,
開畫，少女漫,China,,"Drama, Comedy",,,253769,The Comic Bang,
竹馬天降都是你,China,,Drama,,,271290,Go Back Lover,
求求了快復婚吧,China,,Drama,,,227023,Please Remarry,
柚木家的四兄弟,Animate,,Other,,Watching,248435,The Yuzuki Family's Four Sons,
初戀是CV大神,China,,Drama,,,116923,First Love It's You,
非法正義,Korea,,"Animation, Action & Adventure, Drama, Sci-Fi & Fantasy",,,280110,My Hero Academia: Vigilantes,
燃燒,China,,Other,,,109413,A Time of Taste,
大唐女法醫,China,,"Mystery, Drama",,Watching,100416,Miss Truth,
夢回,China,,Drama,,,96483,Dreaming Back to the Qing Dynasty,
時空來電,China,,"Mystery, Crime, Sci-Fi & Fantasy",,,97268,Unknown Number,
烈火軍校,China,,"War & Politics, Drama, Action & Adventure",,,92648,Arsenal Military Academy,
紳探,China,,"Mystery, Drama",,,87519,Detective L,
最動聽的事,China,,Drama,3,Finished,87299,I Hear You,
獨家記憶,China,,Drama,,,507697,Snapshots,
