Title_ZH,Country,Finished,Genres_EN,Score /5,Status,TMDB_ID,Title_EN,
九重紫,China,12/28/2024,Drama,4,Finished,249972,Blossom,
全領域異常解決室,Japan,12/22/2024,Drama,4,Finished,261792,AARO -All-domain Anomaly Resolution Office-,
雙面騙子 虛偽警察 S1,Japan,12/9/2024,Other,3,Finished,247442,Double Cheat: Itsuwari no Keikan Season 1,
如寶物般的玻璃珠 ,Japan,12/8/2024,Drama,3,Finished,254724,Takara's Treasure,
媽媽朋友的兒子,Korea,12/2/2024,Drama,3,Finished,241454,Love Next Door,
體感預報,Japan,12/1/2024,Drama,2,Finished,230735,My Personal Weatherman,
重組家庭,Korea,11/28/2024,Drama,3,Finished,237565,Family by Choice,
預感訊號,Thailand,11/21/2024,Mystery,3,Finished,237411,The Sign,
超能異族,Korea,11/10/2024,"Mystery, Drama, Action & Adventure",4,Finished,126485,Moving,
從地獄來的法官,Korea,11/2/2024,Drama,3,Finished,235577,The Judge from Hell,
見面吧，就現在,China,10/29/2024,Comedy,4,Finished,209833,Let's Meet Now,
我們在黑夜中相擁,China,9/5/2024,Drama,3,Finished,254993,Embrace in the Dark Night,
你比星光美麗,China,8/23/2024,Drama,2,Finished,219915,As Beautiful As You,
私藏浪漫,China,8/20/2024,Drama,3,Finished,259698,You Are My Secret,
她的日與夜,Korea,8/12/2024,Sci-Fi & Fantasy,3,Finished,231749,Miss Night and Day,
你和我的警察課堂,Korea,8/11/2024,Other,3,Finished,126484,Rookie Cops,
墜落JK與廢人老師 S2,Japan,8/4/2024,"Romance, Comedy",4,Finished,222368,Falling High School Girl and Irresponsible Teacher Season 2,
墜落JK與廢人老師 S1,Japan,8/3/2024,"Romance, Comedy",4,Finished,222368,Falling High School Girl and Irresponsible Teacher Season 1,
商業婚姻―喜歡上了就離婚,Japan,7/30/2024,Comedy,3,Finished,257066,Business Marriage,
Blue Moment,Japan,7/11/2024,Drama,3,Finished,245840,Blue Moment,
Sugar sugar honey,Japan,6/30/2024,Drama,2,Finished,244588,Sugar Sugar Honey,
背著善宰跑,Korea,5/31/2024,Drama,4,Finished,230923,Lovely Runner,
完美求婚,Japan,5/20/2024,Drama,3,Finished,241756,Perfect Propose,
貴族高中：我們之間的鴻溝,Germany,5/13/2024,Other,4,Finished,250670,Maxton Hall - The World Between Us,
春色寄情人,China,5/1/2024,Drama,4,Finished,244621,Will Love In Spring,
排球少年 S3,Animate,4/28/2024,"Animation, Drama, Sport",5,Finished,60863,Haikyu!! Season 3,
排球少年 S4 P1,Animate,4/28/2024,"Animation, Drama, Sport",5,Finished,60863,Haikyu!! Season 4 P2,
排球少年 S4 P2,Animate,4/28/2024,"Animation, Drama, Sport",5,Finished,60863,Haikyu!! Season 4 P1,
排球少年 S2,Animate,4/28/2024,"Animation, Drama, Sport",5,Finished,60863,Haikyu!! Season 2,
排球少年 S1,Animate,4/28/2024,"Animation, Drama, Sport",5,Finished,60863,Haikyu!! Season 1,
十角館殺人案,Japan,3/29/2024,"Mystery, Crime",3,Finished,242331,The Decagon House Murders,
紅皇后,Spain,3/14/2024,Action&Adventure and Mystery,2,Give up,203667,Red Queen,
生存直播,Korea,3/1/2024,Drama,3,Finished,111724,Live On,
踮起腳尖靠近你,China,2/28/2024,Drama,2,Finished,234610,Just Dance,
請和我的老公結婚,Korea,2/28/2024,Drama,3,Finished,290160,Marry My Husband: Japan,
甜甜的陷阱,China,2/23/2024,Comedy and Drama,3,Finished,244813,Sweet Trap,
再次我的人生,Korea,2/16/2024,Drama,3,Finished,135654,Again My Life,
殺人者的難堪,Korea,2/11/2024,Crime,4,Finished,202783,A Killer Paradox,
歡迎回到三達里,Korea,1/24/2024,Drama,3,Finished,219651,Welcome to Samdal-ri,
偏偏動了心,China,1/22/2024,Drama,2,Finished,243435,Have a Crush On You,
我知道我愛你,China,1/13/2024,Drama,3,Finished,240947,I Love You,
烈女朴氏契約結婚傳,Korea,1/7/2024,Drama,3,Finished,220076,The Story of Park's Marriage Contract,
成了BL劇的主演,Japan,1/6/2024,Drama,2,Finished,241166,I Became the Main Role of a BL Drama,
春夜,Korea,12/28/2023,Drama,4,Finished,89604,One Spring Night,
無人島的Diva,Korea,12/21/2023,Comedy,4,Finished,216310,Castaway Diva,
完美的結婚公式,Korea,12/9/2023,Drama,3,Finished,230524,Perfect Marriage Revenge,
高良同學與天城同學,Japan,11/11/2023,Drama,2,Finished,205988,Takara-kun and Amagi-kun,
始於賭約的告別之戀,Japan,10/17/2023,Other,3,Finished,230834,A Farewell's Love That Begins with a Bet,
戀愛不可抗力,Korea,10/15/2023,Drama,3,Finished,215001,Destined with You,
蓮花樓,China,8/16/2023,Drama,4,Finished,230835,Mysterious Lotus Casebook,
獨家童話,China,8/12/2023,Drama,3,Finished,231306,Exclusive Fairytale,
一半的一半,Korea,8/5/2023,Drama,3,Finished,99112,A Piece of Your Mind,
偷偷藏不住,China,8/5/2023,Drama,4,Finished,210733,Hidden Love,
漢摩拉比小姐,Korea,8/3/2023,Drama,2,Finished,79342,Miss Hammurabi,
惡鬼,Korea,7/31/2023,Mystery and Drama,5,Finished,210702,Revenant,
愛情而已,China,7/30/2023,Drama,3,Finished,210580,Nothing But You,
突然回到十八歲,Korea,7/29/2023,Other,2,Finished,99654,18 Again,
再次相遇的世界,Korea,7/29/2023,Drama,3,Finished,72549,Reunited Worlds,
你喜歡勃拉姆斯嗎,Korea,7/25/2023,Drama,4,Finished,101857,Do You Like Brahms?,
當我飛奔向你,China,6/30/2023,Drama,5,Finished,228547,When I Fly Towards You,
觸及真心,Korea,6/19/2023,Comedy,3,Finished,85404,Touch Your Heart,
浪漫醫生金師傅 S3,Korea,6/19/2023,"Drama, Medical",4,Finished,68398,Dr. Romantic Season 3, 
你給我的喜歡,China,6/15/2023,Drama,4,Finished,225178,The Love You Give Me,
三分野,China,6/7/2023,Drama,3,Finished,226969,Here We Meet Again,
疑犯追蹤 S2,USA,5/31/2023,"Action, Sci-Fi, Mystery",4,Finished,1411,Person of Interest S2,
疑犯追蹤 S1,USA,5/25/2023,"Action, Sci-Fi, Mystery",3,Finished,1411,Person of Interest S1,
不良執念清除師,Taiwan,5/18/2023,Drama,5,Finished,202753,Oh No! Here Comes Trouble,
模範計程車 S1,Korea,5/9/2023,"Action, Crime",4,Finished,119769,Taxi Driver S1,
原來這就是愛啊,Korea,4/19/2023,Drama,3,Finished,215471,Call It Love,
青春月譚,Korea,4/15/2023,Drama,3,Finished,154889,Our Blooming Youth,
盲點 S1,USA,4/9/2023,"Action, Crime, Mystery",4,Finished,62710,Blindspot Season 1,
再遇兩個他,China,4/6/2023,Drama,2,Finished,226476,Meet With Two Souls,
Happiness,Korea,4/1/2023,"Drama, Action & Adventure, and Mystery",4,Finished,292318,Happiness,
魔王的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校,Animate,3/23/2023,Animation,1,Finished,97617,The Misfit of Demon King Academy,
重啟人生,Japan,3/21/2023,"Drama, Comedy, and Sci-Fi & Fantasy",4,Finished,215197,Rebooting,
驅魔者,Korea,3/15/2023,"Mystery, Drama, and Sci-fi & Fantasy",3,Finished,83437,Priest,
黑暗榮耀 S2,Korea,3/10/2023,Other,5,Finished,136283,The Glory,
靜雪,Japan,3/9/2023,Drama,5,Finished,210444,Silent,
小神的孩子們,Korea,3/8/2023,Crime,4,Finished,76619,Children of A Lesser God,
浪漫速成班,Korea,3/3/2023,Drama,3,Finished,202318,Crash Course in Romance,
